"","compound","beta_coefficient","direction","optimal_cutpoint_mM"
"1","kynurenine",0.709045138410523,">=",0.001005
"2","glycocholic acid",0.648594416841665,"<=",0.00211687270043846
"3","succinate",0.61252219841329,">=",0.32
"4","tryptamine",0.5401988062826,">=",0.00422
"5","kynurenic acid",0.42316549117832,"<=",0.003165
"6","tyrosine",0.412275556745453,">=",0.027015
"7","cholic acid",0.383951289298375,"<=",0.0193858459009268
"8","serotonin",0.383554662386874,"<=",6.5e-05
"9","indole-3-propionate",0.350459701857193,"<=",0.000163136295
"10","isodeoxycholic acid",0.340380175792207,"<=",0.00385681445317943
"11","indole-3-lactate",0.329957058937343,">=",0.000882112905
"12","butyrate",0.329290714077895,"<=",0.425
"13","indole-3-carboxaldehyde",0.292696045687861,"<=",0.001666679665
"14","3-oxolithocholic acid",0.207032444204555,"<=",0.0210107175060585
"15","5-hydroxyindoleacetate",0.201421174755209,"<=",0.000195
"16","alloisolithocholic acid",-0.177532162298226,"<=",0.00275978268124149
"17","deoxycholic acid",0.15769800756124,"<=",0.00419329793488444
"18","taurocholic acid",0.145386325919552,">=",0.00128082799192296
"19","propionate",0.141571424308383,"<=",2.045
"20","melatonin",0.134213403719115,"<=",6e-05
"21","lithocholic acid",0.0880622513949262,"<=",0.0587699508865245
"22","anthranilic acid",0.0833609933424257,"<=",2.5e-05
"23","tryptophan",0.0813976608599196,">=",0.258605
"24","acetate",-0.0801123811693063,"<=",9.375
"25","phenylalanine",0.0567207704092465,">=",0.991885
"26","niacin",0.014735781716277,"<=",0.00659
"27","indole-3-acrylate",0.0132180393812618,"<=",0.02472380057
"28","indole",-0.00644234646818408,"<=",0.001038083595
"29","desaminotyrosine",0.00379882216350239,"<=",0.0527312429970588
"30","indole-3-acetamide",0,"<=",-Inf
