feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Evtepia	thirtyday_mortality_overall	Survivor	0.00124509577452757	0.000527919309294761	147	52	0.0196836864575208	0.190849683957751
Lachnospiraceae	thirtyday_mortality_overall	Survivor	0.0716873931942457	0.0293064997676561	147	113	0.0156368775369762	0.190849683957751
Oscillospiraceae	thirtyday_mortality_overall	Survivor	0.0195985546165184	0.00702523231567766	147	98	0.00598445095407332	0.190849683957751
Enterococcaceae	thirtyday_mortality_overall	Survivor	-0.136554364247389	0.0580930452471694	147	103	0.0200894404166054	0.190849683957751
Clostridiales	thirtyday_mortality_overall	Survivor	0.00110305228975796	0.000519650412793981	147	55	0.0354794332505432	0.269643692704128
Atopobiaceae	thirtyday_mortality_overall	Survivor	-0.00192141518707411	0.00101805460748676	147	30	0.0611131742828426	0.387050103791337
Bacteroidaceae	thirtyday_mortality_overall	Survivor	0.0490270037857972	0.0297330278466622	147	108	0.101331573259749	0.537660278370221
Coriobacteriaceae	thirtyday_mortality_overall	Survivor	0.0125545679761092	0.00787786305791475	147	52	0.113191637551626	0.537660278370221
Peptoniphilaceae	thirtyday_mortality_overall	Survivor	-0.00245312921610052	0.00162580693737639	147	36	0.133508226377468	0.563701400260422
Barnesiellaceae	thirtyday_mortality_overall	Survivor	0.00110735138209384	0.00114965233327323	147	29	0.337048021901964	0.662107063166895
Candidatus	thirtyday_mortality_overall	Survivor	0.00231893288216797	0.00235614947780108	147	45	0.326654377810372	0.662107063166895
Christensenellaceae	thirtyday_mortality_overall	Survivor	0.000515088377828155	0.000589049946509878	147	52	0.383325141833466	0.662107063166895
Clostridia	thirtyday_mortality_overall	Survivor	0.0122056176693818	0.0107067207415642	147	89	0.256167599144289	0.662107063166895
Clostridiaceae	thirtyday_mortality_overall	Survivor	0.00203830481127509	0.00221593832533049	147	94	0.359185017444174	0.662107063166895
Erysipelotrichaceae	thirtyday_mortality_overall	Survivor	-0.00545730106044462	0.00560045589916212	147	76	0.331461578140361	0.662107063166895
Intestinimonas	thirtyday_mortality_overall	Survivor	-0.000677225107056001	0.000667943706682231	147	40	0.312321468328331	0.662107063166895
Odoribacteraceae	thirtyday_mortality_overall	Survivor	-0.00191667621999753	0.00166944022675927	147	63	0.252819877360462	0.662107063166895
Bifidobacteriaceae	thirtyday_mortality_overall	Survivor	0.0203017128764993	0.0175963188619613	147	73	0.250501779195443	0.662107063166895
Desulfovibrionaceae	thirtyday_mortality_overall	Survivor	0.00175997487406931	0.00152715713108036	147	64	0.251031933143357	0.662107063166895
Micrococcaceae	thirtyday_mortality_overall	Survivor	0.000963414318300444	0.00103093612663935	147	39	0.351597423815427	0.662107063166895
Prevotellaceae	thirtyday_mortality_overall	Survivor	0.00641703246445973	0.00731373946372209	147	32	0.381723983733903	0.662107063166895
Gemmiger	thirtyday_mortality_overall	Survivor	0.00378486660400068	0.00344400195464795	147	25	0.273601033840561	0.662107063166895
Coprobacillaceae	thirtyday_mortality_overall	Survivor	-0.00943733836461925	0.0118753408542287	147	100	0.428086603953378	0.670736837563695
Eubacteriaceae	thirtyday_mortality_overall	Survivor	0.00145819977720185	0.00188845959426011	147	67	0.441274235239273	0.670736837563695
Staphylococcaceae	thirtyday_mortality_overall	Survivor	-0.0137771937815273	0.0169708206492557	147	39	0.418227575560795	0.670736837563695
Akkermansiaceae	thirtyday_mortality_overall	Survivor	0.00960874847521215	0.0158853802246147	147	40	0.54620417288616	0.741277091774074
Enterobacteriaceae	thirtyday_mortality_overall	Survivor	-0.0172433385456711	0.028140093623029	147	92	0.540989855562408	0.741277091774074
Tannerellaceae	thirtyday_mortality_overall	Survivor	0.0124213112868595	0.0204516746647806	147	97	0.54456903617238	0.741277091774074
Eubacteriales.Family.XIII..Incertae.Sedis	thirtyday_mortality_overall	Survivor	-0.000573646100736373	0.00113828930346055	147	57	0.61505814503618	0.805938259012925
Veillonellaceae	thirtyday_mortality_overall	Survivor	0.00189246730099782	0.00523335684605022	147	69	0.718165162453767	0.909675872441438
Eggerthellaceae	thirtyday_mortality_overall	Survivor	0.000923844437894713	0.00417488611770083	147	95	0.825180958195051	0.969547025416443
Rikenellaceae	thirtyday_mortality_overall	Survivor	-0.00151916966853733	0.00899740669075637	147	83	0.866153645900011	0.969547025416443
Streptococcaceae	thirtyday_mortality_overall	Survivor	0.0025979539626879	0.0150655756061615	147	112	0.863329680973736	0.969547025416443
Sutterellaceae	thirtyday_mortality_overall	Survivor	0.00102118700849426	0.006109615969236	147	49	0.86748944379366	0.969547025416443
Acidaminococcaceae	thirtyday_mortality_overall	Survivor	-0.000104187200672168	0.00377179509571401	147	64	0.978001049877858	0.997161921195183
Actinomycetaceae	thirtyday_mortality_overall	Survivor	-0.000249775242462708	0.00459726727543035	147	64	0.956746044857397	0.997161921195183
Lactobacillaceae	thirtyday_mortality_overall	Survivor	-0.00155312497520164	0.0357087226532708	147	96	0.965367366559409	0.997161921195183
Peptostreptococcaceae	thirtyday_mortality_overall	Survivor	-3.71143565574105e-06	0.00104161648335403	147	58	0.997161921195183	0.997161921195183
