feature	Acidaminococcaceae	Actinomycetaceae	Akkermansiaceae	Bacteroidaceae	Barnesiellaceae	Candidatus	Christensenellaceae	Clostridia	Clostridiaceae	Coprobacillaceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Evtepia	Intestinimonas	Lachnospiraceae	Lactobacillaceae	Odoribacteraceae	Oscillospiraceae	Peptostreptococcaceae	Rikenellaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Bifidobacteriaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterococcaceae	Eubacteriales.Family.XIII..Incertae.Sedis	Veillonellaceae	Clostridiales	Atopobiaceae	Micrococcaceae	Peptoniphilaceae	Prevotellaceae	Gemmiger
201209-MICU-020-01	0.018304886753174	0.000317594076120358	0.42574147028512	0.134396964115938	0.0630082236269142	0.0050050944734308	0.0027432855806441	0.0055692117335373	0.00316602389253369	0.00208305097804482	0.00360478176150541	0.0349787028888347	0.0747921335329251	0.000369975484992091	0.00732335323403073	0.000290640535632962	0.0329552802621512	0.00283914864445305	0.00750681530442371	0.0687479292179684	0.000742748035506458	0.0417144180845034	0.00966271712538965	0.00763319181029386	0.00849812075338705	0.0375113185799146	0	0	0	0	0	0	0	0	0	0	0	0
201209-MICU-021-01	0.0057224533397528	0	0.13287484296128	0.328921153397678	0	0	0.000261292369109324	0.00745390396377013	0.00360814168967394	0.00167076659971363	0.00797157379754104	0.00727486101603112	0	0.00582416177056925	0	0.00155792440576047	0.0344017232256819	0.00135681454009283	0.00391587489060576	0.0393963694904799	0.00054725956462974	0.278135546043377	0	0.000481760940050704	0	0.0169750769207622	0.00742471544960092	0.038410580084105	0.00576297622540354	0.0497883832722732	0.000250058301800209	0.0200117857402573	0	0	0	0	0	0
201209-MICU-025-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334445067380395	0	0	0	0	0	0.650146083837383	0	0	0.000683102074101216	0	0	0	0	0.0134354427903735	0	0	0	0	0	0
201209-MICU-031-01	0.0103818915002986	0	0	0.230495737937218	0	0	0	0.0885126713307124	0.0160998874057365	0.00235131594756591	0.00478539695530428	0.000116208900813564	0.213128024936268	0	0.00289294851821828	0	0.249133866460433	0.000419342971540418	0.00673403554888831	0.0502145191535803	0	0.0712718647553606	0	0.000297278583476558	0.000345135931195322	0.0288405268181879	0	0	0	0.00188389041725864	0.00717905257991079	0.0144524685889706	0.000463934759061901	0	0	0	0	0
201209-MICU-032-01	0	0	0.0148511992275789	0.00548383840600382	0	0.00395936011937416	0.0034809857145992	0.107027714994185	0.0267522766671787	0.00847644335213184	0.0146833731978671	0	0.00149726799938557	0.00484501108160892	0.00447846217989511	0	0.12939527330978	0	0.000288955695508108	0.150490970134515	0.0205004059599307	0.0160842641153365	0	0	0	0.00231164556406487	0.363328959206513	0.06240126396173	0.00333106580939633	0.000206447082574444	0.0434093612165632	0	0.00324838164622238	0	0	0	0	0
201209-MICU-033-01	0.000276360205488702	0.140503043488596	0	0	0	0.000419503298690789	0.000316717154210823	0.00486634274882279	0.00399964788888752	0.00392363577187693	0.0164101279485061	0.101325327420235	0.00378401901400007	0.0479757920998073	0.00153682917674176	0	0.103232813621162	0.0783532118515167	0	0.00136913234127508	0.0146089542273838	0	0.00425785399770187	0.0450860256032841	0.0193015923101859	0	0.0836698806818731	0.105597286759238	0.00142881883177996	0.0565321182539573	0.0340352743240733	0.00344614384783785	0	0.0659530495878498	0.0021991271928255	0.0154730369870782	0	0
201209-MICU-034-01	0.00455912156528907	0.00438626749511032	0	0.0225444730101989	0	0	0	0	0	0.00862119221448975	0	0.0391989244861919	0.00151164575658532	0	0	0	0.0117647687764961	0.0176046397189123	0	0	0	0.0857535661016621	0	0	0	0.132460314207459	0.00132020796457586	0	0	0.593975335582558	0	0	0	0.000345453568825577	0	0	0	0
201209-MICU-036-01	0.00132187067304967	0.00800747283158778	0	0.00407672383001962	0.000147211903268847	0	0.000944113008359027	0.00385641205117801	0.000152610047926528	0.056468304343797	0.00377071650473732	0.08647152973523	0.00593469774438525	0.00433133631970692	0.00179015972210351	0.000104589052742572	0.232298134131299	0.168716874510231	0.000191859058041751	0.00358031944420703	0	0.000318827918844293	0	0.0329475759181569	0.000223235773864523	0.000489881627684565	0.189931583014918	0.077265668789637	0.00583921806075252	0.0763109844146567	0.00188890078480026	0.0237752284539804	0	0.00433099893566581	0	0.000534303859763399	0	0
201209-MICU-037-01	0.00121460111711428	0	0	0.393368358709353	0	0	0.00955822167222358	0.00144625300269217	0.0113917957297264	0.040190592037797	0.0539985708066323	0	0.000193941113507067	0.0113681142627415	0.00226073833875744	0	0.122742165727395	0	0	0.0151212339593134	0	0.0364388191545133	0	0	0.0157846517382141	0.273524198474936	0	0	0.00140315497746837	0.0067659410223727	0	0	0.00304301239034555	0	0	0.000185635764896232	0	0
201209-MICU-038-01	0.00123876372753318	0	0	0.380705354451707	0	0	0.0105306361219793	0.00152475274719318	0.0105715949537755	0.0396868191347134	0.0585187262574301	0	0.000277074450386688	0.0126541106163124	0.00251595647666346	0	0.125233314757298	0	0	0.0159011822405397	0.000100228670748576	0.0339060823624283	0	0	0.0160303230278503	0.27806987046649	0	0	0.00149752717076388	0.00733404023458328	0	0	0.00306299781544866	0	0	0.000453558828567773	0	0
